Driver Age,Driver Experience,Previous Accidents,Annual Mileage (x1000 km),Car Manufacturing Year,Car Age,Insurance Premium ($)
55,10,1,11,2007,18,489.85
50,17,5,17,1991,34,496.65
41,11,1,12,1997,28,493.4
32,14,0,20,2000,25,492.9
47,11,4,22,2022,3,494.7
59,12,5,16,2016,9,493.8
34,16,3,22,2009,16,495.6
22,4,0,12,2001,24,497.4
46,28,4,12,2020,5,489.5
21,3,3,20,2016,9,501.3
27,9,2,23,2021,4,496.45
34,16,3,18,1999,26,496.4
27,9,1,25,1992,33,497.95
34,5,1,25,2016,9,495.35
37,17,2,22,2024,1,491.7
41,18,0,12,2020,5,487.5
22,4,4,17,2004,21,503.35
51,33,3,13,2005,20,487.05
23,5,1,18,2002,23,498.6
19,1,0,17,2024,1,496.85
30,2,2,24,2000,25,500.1
60,27,5,18,2010,15,489.8
60,9,1,24,2000,25,490.5
65,34,2,17,2019,6,481.25
28,10,3,21,2024,1,497.05
64,14,4,16,2011,14,491.2
40,22,1,23,2020,5,488.55
33,6,1,17,2003,22,496.15
48,11,3,15,2013,12,493.55
28,10,5,17,2021,4,500.15
33,15,0,11,2025,0,489.45
25,7,4,11,2021,4,499.85
21,3,1,19,2004,21,499.45
57,19,4,24,2024,1,490.2
21,3,1,15,1992,33,500.45
42,3,4,23,2005,20,499.85
20,2,2,15,1994,31,502.25
49,19,1,13,2010,15,488.15
20,2,4,15,1999,26,504.75
44,26,0,13,2008,17,485.75
46,28,2,19,2014,11,487.45
49,31,2,19,1993,32,488.05
36,18,0,16,2018,7,488.9
38,20,4,25,2008,17,495.35
22,1,3,11,1991,34,503.75
35,14,0,17,1999,26,492.25
45,27,4,17,2014,11,490.85
59,35,0,24,2009,16,480.5
39,5,0,20,2008,17,493.4
38,20,1,20,2012,13,490.2
23,5,4,14,2013,12,501.8
18,0,3,18,2000,25,504.3
22,4,1,16,2023,2,496.9
58,39,0,14,2017,8,478.2
29,11,5,14,1994,31,502.2
43,14,0,12,1994,31,490.9
63,32,0,24,2010,15,480.5
51,33,4,12,2001,24,488.9
31,13,4,22,1993,32,500.2
43,7,1,24,2009,16,493.6
62,35,3,14,2014,11,483.4
44,26,1,15,2003,22,487.85
26,8,2,18,2000,25,498.8
43,13,0,25,2021,4,489.15
64,13,5,16,2000,25,494.1
39,1,0,24,2007,18,494.9
64,36,0,25,2016,9,478.55
47,4,1,14,2007,18,493.4
60,37,5,23,2012,13,486.85
65,40,5,21,2000,25,486.05
34,13,5,17,2010,15,499.15
43,25,1,18,1994,31,489.4
53,24,0,12,2012,13,484.1
18,0,1,22,2014,11,500.1
25,1,4,17,1999,26,504.15
52,34,4,25,2011,14,488.05
32,5,1,24,2008,17,496.5
64,16,5,12,1990,35,494.0
39,21,0,12,1996,29,489.4
31,13,1,18,1993,32,495.5
43,1,1,12,1990,35,496.7
45,27,1,25,2004,21,487.75
40,22,2,21,2001,24,491.85
31,4,4,19,2011,14,500.95
41,0,5,22,2011,14,501.8
19,1,3,11,2006,19,502.85
62,11,5,25,2018,7,493.75
43,25,3,19,2003,22,491.55
31,13,2,25,2009,16,495.75
24,6,1,11,2022,3,495.75
20,2,2,20,2004,21,501.5
64,9,2,23,2001,24,491.05
40,2,0,20,2009,16,494.0
63,13,4,12,2019,6,490.7
60,15,3,16,1992,33,492.1
64,9,1,16,2017,8,487.6
62,28,3,11,2015,10,485.25
35,9,5,17,2019,6,499.25
55,11,3,18,2002,23,493.4
52,29,5,12,2002,23,491.3
32,14,4,18,1991,34,499.7
42,0,5,19,1991,34,503.45
54,4,3,16,2025,0,493.3
45,19,3,15,2015,10,491.55
27,7,5,22,2000,25,503.6
56,11,2,19,1997,28,492.25
34,0,4,23,2011,14,501.75
56,19,0,22,2009,16,485.8
39,21,1,21,1997,28,491.25
43,25,3,19,2018,7,490.05
61,36,1,11,2015,10,480.05
42,11,0,21,2019,6,489.95
34,16,1,13,2006,19,492.45
30,12,0,19,2009,16,492.95
37,14,5,21,2005,20,498.95
42,5,2,12,1996,29,496.6
21,3,3,22,2005,20,502.5
27,9,0,14,2016,9,493.5
20,1,1,14,2012,13,499.2
58,8,3,12,2013,12,492.3
62,36,2,25,1998,27,483.75
35,17,5,13,2024,1,496.15
64,25,3,23,2009,16,486.95
53,28,0,13,2006,19,483.55
64,0,2,11,2020,5,491.25
39,21,1,16,1997,28,491.0
51,5,2,18,2004,21,494.3
64,36,2,22,2020,5,481.0
25,4,4,13,2019,6,501.05
57,32,2,15,2009,16,484.35
61,13,2,11,2001,24,489.85
36,11,3,20,2006,19,496.9
59,19,1,17,2019,6,485.45
58,23,3,20,2018,7,487.7
54,33,3,23,2008,17,486.65
23,5,0,11,2000,25,496.95
43,25,3,22,2023,2,489.7
51,33,4,21,1996,29,489.85
62,30,4,19,2023,2,485.75
23,5,0,18,2009,16,496.4
54,36,5,17,2013,12,487.95
50,19,1,20,1999,26,489.4
39,21,1,25,2021,4,489.05
38,15,3,17,2004,21,495.35
23,5,3,15,2009,16,500.75
23,5,5,15,1992,33,505.45
65,0,3,21,1997,28,495.35
21,3,1,23,2012,13,498.85
47,28,2,15,2000,25,488.45
28,10,4,11,1997,28,500.75
47,29,2,18,2018,7,486.5
48,4,2,22,2019,6,493.9
41,21,1,21,1999,26,490.65
26,8,2,11,2017,8,496.75
20,0,5,14,2025,0,504.2
48,25,0,25,2002,23,486.45
57,9,3,19,2021,4,491.75
54,29,0,24,2025,0,481.7
53,17,4,19,2015,10,492.25
41,16,3,15,2011,14,493.65
48,25,2,14,1993,32,489.8
23,5,4,13,2020,5,501.05
19,1,3,13,2007,18,502.85
37,11,5,22,2013,12,499.1
45,26,5,15,2012,13,492.75
28,7,5,20,2011,14,502.2
21,3,5,11,1991,34,506.35
32,3,2,15,2020,5,496.95
23,5,0,16,2000,25,497.2
47,0,3,17,2017,8,496.75
55,18,2,22,2021,4,488.1
19,1,5,19,1994,31,507.45
32,14,0,13,1999,26,492.65
28,10,4,25,2013,12,499.85
25,4,4,12,2024,1,500.5
43,25,4,24,2012,13,492.4
62,25,5,13,2006,19,490.15
61,27,4,22,1990,35,490.3
22,1,1,19,2020,5,498.25
23,5,3,22,2020,5,500.0
43,8,3,17,2023,2,494.55
21,3,5,19,1998,27,506.05
36,18,1,23,2011,14,491.45
37,19,2,12,2002,23,492.8
